,AQI,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
443,142,333,106,155,20,66,1.68,41
444,137,352,104,131,15,62,1.47,50
445,119,329,89,129,15,54,1.57,45
446,69,235,48,66,10,35,1.22,82
447,108,326,80,100,10,44,1.39,34
448,115,327,50,168,16,54,1.34,33
449,91,292,36,130,16,53,1.00,51
450,80,243,40,109,17,67,1.13,43
451,102,325,63,152,25,77,1.46,38
452,115,339,74,167,22,77,1.57,45
453,146,354,106,188,25,78,1.57,27
454,62,140,40,71,12,42,1.14,54
455,62,185,33,70,16,52,1.15,53
456,63,144,31,74,16,64,1.12,50
457,100,307,66,142,29,84,1.53,36
458,101,303,75,139,20,79,1.62,25
459,91,265,66,113,15,49,1.39,52
460,102,287,76,124,13,49,1.49,41
461,106,279,76,155,15,58,1.65,58
462,104,284,76,140,15,54,1.55,42
463,66,194,41,80,11,46,1.30,32
464,35,48,22,33,7,32,1.11,47
465,43,99,27,41,8,43,1.39,33
466,61,202,36,68,11,50,1.42,45
467,63,161,30,74,13,61,1.22,50
468,68,163,27,83,14,53,1.06,61
469,91,310,46,130,18,76,1.39,51
470,96,282,53,140,19,71,1.40,42
471,51,53,24,57,9,37,1.00,56
472,99,273,37,146,12,51,1.19,52
473,295,359,97,417,12,51,1.12,55
474,136,355,64,216,13,50,1.14,36
475,77,248,28,103,10,42,0.83,52
476,97,350,39,143,10,48,0.80,54
477,76,264,46,101,16,69,1.04,47
478,94,337,49,137,16,88,1.47,36
479,94,337,49,137,16,88,1.47,36
480,93,314,52,133,19,77,1.55,61
481,71,235,47,89,10,50,1.30,75
482,77,321,47,100,16,50,1.25,52
483,84,339,50,108,15,64,1.38,60
484,74,233,36,90,15,73,1.21,59
485,81,214,39,104,16,87,1.33,56
486,96,281,54,136,20,82,1.45,71
487,98,287,45,121,16,56,1.30,106
488,72,198,34,91,9,31,1.06,98
489,50,109,24,53,6,31,1.08,60
490,105,277,42,157,10,43,1.15,57
491,324,344,179,589,10,49,1.05,47
492,254,328,135,372,13,60,1.05,50
493,130,264,74,207,15,61,1.12,39
494,78,225,43,99,11,49,1.02,71
495,81,277,41,106,15,76,1.21,63
496,83,281,39,113,16,63,1.18,57
497,72,188,35,88,14,55,1.00,66
498,79,251,34,93,15,66,1.04,66
499,91,308,41,105,16,73,1.13,82
500,66,188,34,81,12,52,0.96,64
501,56,162,31,60,11,47,0.99,51
502,58,150,21,54,9,43,0.93,71
503,80,231,29,87,14,72,1.09,69
504,75,158,38,98,15,74,1.21,39
505,72,162,33,79,13,52,1.04,75
506,72,197,37,79,11,41,1.01,85
507,72,197,37,79,11,41,1.01,85
508,90,279,60,108,10,42,1.18,112
509,99,312,54,139,10,41,1.15,45
510,61,283,21,50,9,31,0.85,106
511,70,284,27,62,14,51,0.94,80
512,68,207,20,58,14,58,0.91,82
513,77,231,24,66,13,67,1.02,84
514,78,168,26,64,12,63,0.97,89
515,89,199,33,72,13,62,1.04,96
516,70,121,40,87,14,65,1.20,39
517,68,166,29,57,9,35,1.02,88
518,75,192,34,83,10,60,1.15,88
519,84,267,40,90,9,50,1.12,100
520,103,293,38,95,12,52,1.13,125
521,96,318,58,131,11,52,1.27,64
522,49,127,33,41,5,23,1.23,71
523,42,90,19,26,5,25,1.11,79
524,50,172,18,43,6,29,1.01,81
525,52,128,16,52,8,31,0.97,85
526,52,136,20,41,6,32,1.08,92
527,52,158,28,57,8,44,1.18,34
528,47,183,14,33,7,31,0.96,83
529,58,226,25,65,9,55,1.10,51
530,77,296,34,76,13,45,1.09,81
531,73,276,31,65,9,30,0.90,112
532,82,274,46,83,8,26,0.99,122
533,89,259,35,79,10,48,1.02,133
534,96,262,40,82,11,50,1.01,109
535,93,248,54,99,11,45,1.13,118
536,99,296,49,94,12,44,1.06,117
537,92,322,44,101,12,43,1.02,108
538,79,294,25,62,9,33,0.89,116
539,82,293,37,86,12,50,1.03,91
540,74,311,27,66,10,34,0.97,104
541,88,342,41,97,10,45,1.06,87
542,77,314,19,73,13,42,0.86,88
543,96,336,25,75,15,52,0.98,113
544,104,330,29,75,14,55,1.00,127
545,105,307,42,92,13,55,1.09,118
546,90,289,35,71,10,36,0.98,119
547,70,228,32,65,8,30,0.93,103
548,74,254,25,55,9,42,1.01,99
549,92,295,32,72,11,45,1.01,115
550,106,321,47,96,10,49,1.13,126
551,122,345,52,106,11,52,1.16,141
552,114,352,53,115,11,54,1.24,120
553,76,283,50,97,7,39,1.35,87
554,50,180,24,53,5,29,1.12,67
555,86,340,23,63,8,45,1.08,91
556,69,277,28,75,12,66,1.15,75
557,88,338,30,87,12,66,1.20,81
558,109,352,40,112,13,66,1.21,113
559,120,349,40,110,10,56,1.14,134
560,100,331,32,85,8,39,1.00,121
561,85,302,30,70,7,39,0.96,98
562,89,329,21,68,7,38,0.92,102
563,83,341,26,71,8,34,1.04,113
564,72,301,36,69,6,27,1.27,110
565,55,194,24,50,6,28,1.04,72
566,63,234,19,50,6,32,1.06,75
567,64,269,19,54,6,32,0.94,80
568,82,323,27,63,6,32,0.98,97
569,84,343,27,58,6,33,0.98,106
570,70,285,24,61,5,34,1.04,82
571,76,277,24,61,5,34,1.05,83
572,80,298,19,60,7,34,0.90,93
573,70,251,31,74,6,31,0.99,83
574,83,307,41,76,5,25,1.13,104
575,79,277,39,88,5,26,1.25,102
576,38,46,17,36,5,23,1.08,56
577,57,185,38,62,5,25,1.60,39
578,76,268,30,55,5,31,1.44,94
579,83,298,36,74,6,43,1.28,98
580,108,353,72,115,6,41,1.51,118
581,98,359,63,112,6,47,1.25,91
582,97,352,43,94,8,55,1.05,94
583,124,360,43,111,13,63,1.09,128
584,108,355,56,115,9,52,1.18,113
585,74,272,43,96,8,46,1.19,65
586,48,131,26,46,5,25,1.03,63
587,49,190,18,35,8,32,0.91,84
588,70,308,24,73,11,42,0.92,91
589,90,326,29,79,13,59,1.06,98
590,102,334,37,97,13,61,1.06,94
591,92,354,30,77,9,45,0.95,109
592,60,276,27,56,7,29,0.98,88
593,73,330,32,60,6,37,1.10,93
594,100,356,54,104,8,53,1.27,101
595,95,346,49,92,8,47,1.20,95
596,76,326,40,76,9,36,1.08,104
597,67,294,45,75,7,30,1.05,78
598,71,326,47,83,6,39,1.36,52
599,67,304,44,74,6,28,1.31,65
600,42,90,15,35,7,25,1.02,70
601,64,258,35,71,9,33,1.27,62
602,66,294,22,56,12,34,0.98,122
603,77,332,29,79,15,41,0.97,86
604,58,282,27,68,11,47,1.01,46
605,55,266,34,61,9,39,1.12,39
606,68,316,38,79,10,30,1.30,63
607,28,54,11,27,8,33,1.08,39
608,29,55,12,23,6,27,1.04,50
609,27,45,9,17,5,32,1.27,45
610,47,202,16,39,8,43,1.30,62
611,83,337,58,97,9,45,1.52,42
612,70,287,48,80,9,44,1.48,41
613,53,204,33,55,8,38,1.09,41
614,61,277,40,68,10,43,1.26,32
615,50,207,31,53,9,44,1.22,28
616,48,194,17,44,9,48,1.05,54
617,66,277,29,73,11,55,1.08,64
618,85,324,56,118,13,78,1.26,8
619,29,28,14,26,6,33,0.99,54
620,49,182,20,52,9,34,0.94,53
621,73,307,31,94,13,54,1.06,56
622,84,321,46,112,14,56,1.26,70
623,61,174,31,67,9,29,0.89,100
624,79,301,52,97,12,47,1.12,86
625,97,346,70,126,14,54,1.27,65
626,75,260,52,87,10,56,1.39,36
627,63,177,43,71,8,46,1.39,62
628,70,173,41,87,12,54,1.34,54
629,60,153,30,69,11,54,1.14,35
630,69,269,34,86,13,59,1.14,51
631,93,322,53,120,13,68,1.21,73
632,91,324,49,130,16,72,1.26,25
633,120,358,83,186,22,75,1.68,57
634,125,363,93,194,18,75,1.75,53
635,60,245,39,71,6,36,1.20,37
636,35,57,17,34,7,32,1.01,34
637,35,83,18,34,6,37,1.02,33
638,59,266,35,66,9,46,1.13,41
639,91,332,63,129,12,67,1.57,38
640,79,300,53,104,11,51,1.54,26
641,84,328,61,101,9,48,1.51,11
642,82,336,59,106,11,49,1.66,15
643,23,14,9,17,6,23,0.90,41
644,43,203,28,41,8,33,1.06,24
645,65,292,45,74,9,42,1.25,16
646,75,269,52,92,13,45,1.71,14
647,84,296,60,112,13,44,2.19,6
648,25,21,10,23,8,24,0.91,33
649,24,40,8,18,7,30,0.85,36
650,38,179,23,34,8,44,1.15,5
651,33,113,19,32,8,48,1.10,27
652,85,327,61,87,13,54,1.45,11
653,97,329,72,111,14,54,1.68,8
654,81,301,59,89,10,43,1.26,20
655,69,279,48,78,9,40,1.24,23
656,54,247,36,57,9,40,1.29,35
657,75,302,51,87,9,50,1.54,26
658,89,289,62,113,11,57,1.66,31
659,110,306,80,152,13,68,1.96,25
660,92,285,62,133,14,62,1.85,16
661,94,293,59,135,14,63,1.90,7
662,116,343,85,164,14,56,1.94,31
663,82,239,56,101,10,38,1.31,40
664,106,290,79,134,10,54,1.52,21
665,83,200,50,107,12,54,1.47,28
666,104,253,73,142,15,79,1.62,20
667,106,283,67,142,15,63,1.37,14
668,76,209,27,100,13,52,0.91,22
669,74,247,47,96,14,60,1.09,13
670,84,235,60,107,14,60,1.32,5
671,72,128,51,79,10,54,1.30,6
672,73,106,40,93,10,60,1.44,22
673,87,193,47,122,18,66,1.23,23
674,107,315,77,138,15,66,1.29,31
675,171,359,129,204,18,86,1.72,18
676,187,350,142,235,19,91,2.01,23
677,92,155,51,131,17,69,1.39,28
678,131,285,98,183,22,88,1.74,19
679,149,337,103,196,19,74,1.76,15
680,64,145,22,79,12,52,1.01,22
681,86,319,48,119,20,58,1.47,10
682,122,358,92,166,23,66,1.89,11
683,174,364,132,220,18,88,2.13,14
684,182,364,137,204,22,79,2.28,13
685,177,361,134,195,27,79,2.32,15
686,260,365,209,281,26,99,2.64,6
687,292,364,241,323,29,97,2.78,6
688,87,348,47,110,20,57,1.27,20
689,81,298,58,97,21,55,1.24,14
690,90,292,67,99,20,63,1.54,12
691,110,305,76,128,22,64,1.46,22
